map_type,K,seed,algo,num_bots,is_hybrid,tour_len,plan_time_ms,initial_quality,improvement_pct,theoretical_makespan,collision_makespan,collision_count,total_wait_time,max_wait_time,avg_wait_time,exec_time_s,waits_s,replan_count,success
narrow,10,0,NN2opt,3,0,94.0,0.67,24.0,,38.0,9.8,2,0.6,0.4,0.3,,,,1
narrow,10,0,HybridNN2opt,3,1,86.0,0.62,24.0,,33.0,9.6,0,0.0,0.0,0.0,,,,1
narrow,10,0,GA,3,0,94.0,29.05,,,38.0,9.8,2,0.6,0.4,0.3,,,,1
narrow,10,1,NN2opt,3,0,124.0,1.65,50.0,,50.0,13.2,2,0.6,0.4,0.3,,,,1
narrow,10,1,HybridNN2opt,3,1,112.0,1.64,50.0,10.0,45.0,13.2,0,0.0,0.0,0.0,,,,1
narrow,10,1,GA,3,0,124.0,30.25,,,50.0,13.2,2,0.6,0.4,0.3,,,,1
narrow,10,2,NN2opt,3,0,88.0,1.11,54.0,14.81,46.0,12.4,2,0.6,0.4,0.3,,,,1
narrow,10,2,HybridNN2opt,3,1,81.0,1.1,54.0,25.93,40.0,14.0,0,0.0,0.0,0.0,,,,1
narrow,10,2,GA,3,0,88.0,29.04,,,46.0,12.4,2,0.6,0.4,0.3,,,,1
narrow,10,3,NN2opt,3,0,106.0,1.07,25.0,,53.0,13.4,3,0.8,0.4,0.267,,,,1
narrow,10,3,HybridNN2opt,3,1,105.0,1.08,25.0,,53.0,13.4,3,0.6,0.2,0.2,,,,1
narrow,10,3,GA,3,0,106.0,28.46,,,53.0,13.4,3,0.8,0.4,0.267,,,,1
narrow,10,4,NN2opt,3,0,109.0,0.99,52.0,7.69,48.0,11.6,2,0.6,0.4,0.3,,,,1
narrow,10,4,HybridNN2opt,3,1,102.0,1.0,52.0,19.23,42.0,12.4,0,0.0,0.0,0.0,,,,1
narrow,10,4,GA,3,0,106.0,29.26,,,45.0,11.6,2,0.6,0.4,0.3,,,,1
narrow,15,0,NN2opt,3,0,128.0,1.65,32.0,,52.0,14.2,3,0.8,0.4,0.267,,,,1
narrow,15,0,HybridNN2opt,3,1,116.0,1.66,32.0,,44.0,12.0,0,0.0,0.0,0.0,,,,1
narrow,15,0,GA,3,0,128.0,32.48,,,52.0,14.2,3,0.8,0.4,0.267,,,,1
narrow,15,1,NN2opt,3,0,156.0,2.18,55.0,,55.0,14.2,3,0.8,0.4,0.267,,,,1
narrow,15,1,HybridNN2opt,3,1,140.0,2.21,55.0,10.91,50.0,15.4,1,0.2,0.2,0.2,,,,1
narrow,15,1,GA,3,0,152.0,32.73,,,55.0,14.2,3,0.8,0.4,0.267,,,,1
narrow,15,2,NN2opt,3,0,122.0,1.62,56.0,3.57,54.0,14.0,2,0.6,0.4,0.3,,,,1
narrow,15,2,HybridNN2opt,3,1,121.0,1.64,56.0,3.57,54.0,14.0,1,0.2,0.2,0.2,,,,1
narrow,15,2,GA,3,0,122.0,32.77,,,54.0,13.6,2,0.6,0.4,0.3,,,,1
narrow,15,3,NN2opt,3,0,153.0,2.4,37.0,,59.0,14.6,2,0.6,0.4,0.3,,,,1
narrow,15,3,HybridNN2opt,3,1,148.0,2.42,37.0,13.51,59.0,14.4,1,0.2,0.2,0.2,,,,1
narrow,15,3,GA,3,0,143.0,33.43,,,59.0,14.6,2,0.6,0.4,0.3,,,,1
narrow,15,4,NN2opt,3,0,157.0,2.21,52.0,,53.0,14.2,3,0.8,0.4,0.267,,,,1
narrow,15,4,HybridNN2opt,3,1,139.0,2.19,52.0,9.62,50.0,14.0,0,0.0,0.0,0.0,,,,1
narrow,15,4,GA,3,0,154.0,33.14,,,53.0,14.2,2,0.6,0.4,0.3,,,,1
wide,10,0,NN2opt,3,0,89.0,1.04,24.0,,34.0,10.0,2,0.6,0.4,0.3,,,,1
